OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
673,2003-11-13,22.11,-141.71,0,0
674,2004-04-04,22.11,-141.71,0,0
675,2004-10-28,22.11,-141.71,0,0
676,2005-02-26,22.11,-141.71,0,0
677,2005-07-15,22.11,-141.71,0,0
678,2005-12-13,22.11,-141.71,0,0
679,2006-07-13,22.11,-141.71,0,0
680,2007-03-01,22.11,-141.71,0,0
681,2007-10-26,22.11,-141.71,0,0
682,2008-05-17,22.11,-141.71,0,0
683,2008-10-24,22.11,-141.71,0,0
684,2009-02-20,22.11,-141.71,0,0
685,2009-06-01,22.11,-141.71,0,0
686,2009-11-05,22.11,-141.71,0,0
687,2010-10-21,22.11,-141.71,0,0
688,2011-03-08,22.11,-141.71,0,0
689,2011-06-06,22.11,-141.71,0,0
690,2011-10-24,22.11,-141.71,0,0
691,2012-02-20,22.11,-141.71,0,0
692,2004-02-20,22.99,-148.78,0,0
693,2004-10-20,22.99,-148.78,0,0
694,2005-02-15,22.99,-148.78,0,0
695,2005-07-08,22.99,-148.78,0,0
696,2005-12-04,22.99,-148.78,0,0
697,2006-05-24,22.99,-148.78,0,0
698,2007-02-18,22.99,-148.78,0,0
699,2007-08-10,22.99,-148.78,0,0
700,2008-04-21,22.99,-148.78,0,0
701,2008-10-17,22.99,-148.78,0,0
702,2008-12-29,22.99,-148.78,0,0
703,2009-05-24,22.99,-148.78,0,0
704,2009-10-27,22.99,-148.78,0,0
705,2010-10-13,22.99,-148.78,0,0
706,2011-02-23,22.99,-148.78,0,0
707,2011-05-27,22.99,-148.78,0,0
708,2011-10-16,22.99,-148.78,0,0
709,2012-01-06,22.99,-148.78,0,0
710,2012-05-27,22.99,-148.78,0,0
711,2004-02-19,23.15,-144.69,0,0
712,2004-10-20,23.15,-144.69,0,0
713,2005-02-14,23.15,-144.69,0,0
714,2005-07-08,23.15,-144.69,0,0
715,2005-12-04,23.15,-144.69,0,0
716,2006-05-23,23.15,-144.69,0,0
717,2007-02-16,23.15,-144.69,0,0
718,2007-08-10,23.15,-144.69,0,0
719,2008-04-19,23.15,-144.69,0,0
720,2008-10-16,23.15,-144.69,0,0
721,2008-12-28,23.15,-144.69,0,0
722,2009-05-20,23.15,-144.69,0,0
723,2009-10-26,23.15,-144.69,0,0
724,2010-10-13,23.15,-144.69,0,0
725,2011-02-22,23.15,-144.69,0,0
726,2011-05-26,23.15,-144.69,0,0
727,2011-10-16,23.15,-144.69,0,0
728,2012-01-05,23.15,-144.69,0,0
729,2012-05-26,23.15,-144.69,0,0
730,2004-02-18,23.35,-144.31,0,0
731,2004-10-19,23.35,-144.31,0,0
732,2005-02-13,23.35,-144.31,0,0
733,2005-07-07,23.35,-144.31,0,0
734,2005-12-03,23.35,-144.31,0,0
735,2006-05-22,23.35,-144.31,0,0
736,2007-02-16,23.35,-144.31,0,0
737,2007-08-09,23.35,-144.31,0,0
738,2008-04-18,23.35,-144.31,0,0
739,2008-10-16,23.35,-144.31,0,0
740,2008-12-28,23.35,-144.31,0,0
741,2009-05-19,23.35,-144.31,0,0
742,2009-10-26,23.35,-144.31,0,0
743,2010-10-12,23.35,-144.31,0,0
744,2011-02-22,23.35,-144.31,0,0
745,2011-05-26,23.35,-144.31,0,0
746,2011-10-16,23.35,-144.31,0,0
747,2012-01-05,23.35,-144.31,0,0
748,2012-05-26,23.35,-144.31,0,0
749,2003-11-12,24.03,-138.44,0,0
750,2004-04-01,24.03,-138.44,0,0
